name,iso_country,iso_region,continent,municipality,iata_code,icao_code,latitude_deg,longitude_deg,elevation_ft,scheduled_service,type,is_international,wikipedia_link
Tongliao Airport,CN,CN-15,AS,Tongliao,TGO,ZBTL,43.556702,122.199997,2395.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Tongliao_Airport
Tongoa Airport,VU,VU-SEE,OC,Tongoa Island,TGH,NVST,-16.8910999298,168.550994873,443.0,yes,small_airport,no,https://en.wikipedia.org/wiki/Tongoa_Airport
Tongren Fenghuang Airport,CN,CN-52,AS,Tongren (Daxing),TEN,ZUTR,27.883333,109.308889,,yes,medium_airport,no,https://en.wikipedia.org/wiki/Tongren_Fenghuang_Airport
Toowoomba Airport,AU,AU-QLD,OC,Toowoomba,TWB,YTWB,-27.543365,151.919112,2086.0,no,small_airport,no,https://en.wikipedia.org/wiki/Victoria_River_Downs_Airport
Topeka Regional Airport,US,US-KS,NA,Topeka,FOE,KFOE,38.950901,-95.663597,1078.0,no,medium_airport,no,https://en.wikipedia.org/wiki/Topeka_Regional_Airport
Toronto Pearson International Airport,CA,CA-ON,NA,Toronto,YYZ,CYYZ,43.675935,-79.629421,569.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport
Torres Airstrip,VU,VU-TOB,OC,Loh/Linua,TOH,NVSD,-13.328,166.638,75.0,no,small_airport,no,https://en.wikipedia.org/wiki/Torres_Airport
Torsby Airport,SE,SE-S,EU,Torsby,TYF,ESST,60.1576,12.9913,393.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Torsby_Airport
Totegegie Airport,PF,PF-U-A,OC,,GMR,NTGJ,-23.07990074157715,-134.88999938964844,7.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Totegegie_Airport
Tottori Sand Dunes Conan Airport,JP,JP-31,AS,Tottori,TTJ,RJOR,35.530058,134.165023,65.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Tottori_Airport
