name,iso_country,iso_region,iata_code,latitude_deg,longitude_deg,type
"Richmond International Airport",US,US-VA,RIC,37.505199,-77.319702,large_airport
"Ronald Reagan Washington National Airport",US,US-DC,DCA,38.8521,-77.037697,large_airport
"Sacramento International Airport",US,US-CA,SMF,38.6954,-121.591003,large_airport
"Salt Lake City International Airport",US,US-UT,SLC,40.78886,-111.979866,large_airport
"San Antonio International Airport",US,US-TX,SAT,29.533701,-98.469803,large_airport
"San Diego International Airport",US,US-CA,SAN,32.733601,-117.190002,large_airport
"San Francisco International Airport",US,US-CA,SFO,37.619806,-122.374821,large_airport
"Sarasota Bradenton International Airport",US,US-FL,SRQ,27.394631,-82.554359,large_airport
"Savannah Hilton Head International Airport",US,US-GA,SAV,32.126591,-81.19998,large_airport
"Seattle–Tacoma International Airport",US,US-WA,SEA,47.447943,-122.310276,large_airport
"Southwest Florida International Airport",US,US-FL,RSW,26.534685,-81.752816,large_airport
"Spokane International Airport",US,US-WA,GEG,47.6199,-117.533997,large_airport
"St. Louis Lambert International Airport",US,US-MO,STL,38.748697,-90.370003,large_airport
"Syracuse Hancock International Airport",US,US-NY,SYR,43.111198425293,-76.1063003540039,large_airport
"Tampa International Airport",US,US-FL,TPA,27.9755,-82.533203,large_airport
"Ted Stevens Anchorage International Airport",US,US-AK,ANC,61.179004,-149.992561,large_airport
"Tucson International Airport",US,US-AZ,TUS,32.115004,-110.938053,large_airport
"Tulsa International Airport",US,US-OK,TUL,36.197084,-95.886225,large_airport
"Washington Dulles International Airport",US,US-VA,IAD,38.9445,-77.455803,large_airport
