name,iso_country,iso_region,continent,municipality,iata_code,icao_code,latitude_deg,longitude_deg,elevation_ft,scheduled_service,type,is_international,wikipedia_link
Garden City Regional Airport,US,US-KS,NA,Garden City,GCK,KGCK,37.9275016785,-100.723999023,2891.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Garden_City_Regional_Airport
General Mitchell International Airport,US,US-WI,NA,Milwaukee,MKE,KMKE,42.947201,-87.896599,723.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/General_Mitchell_International_Airport
General Wayne A. Downing Peoria International Airport,US,US-IL,NA,Peoria,PIA,KPIA,40.663841,-89.692631,660.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/General_Wayne_A._Downing_Peoria_International_Airport
George Bush Intercontinental Airport,US,US-TX,NA,Houston,IAH,KIAH,29.9844,-95.3414,97.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/George_Bush_Intercontinental_Airport
Gerald R. Ford International Airport,US,US-MI,NA,Grand Rapids,GRR,KGRR,42.880798,-85.522797,794.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Gerald_R._Ford_International_Airport
Glacier Park International Airport,US,US-MT,NA,Kalispell,FCA,KGPI,48.310501,-114.255997,2977.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Glacier_Park_International_Airport
Glasgow Valley County Airport Wokal Field,US,US-MT,NA,Glasgow,GGW,KGGW,48.212502,-106.614998,2296.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Glasgow_Airport_(US)
Golden Triangle Regional Airport,US,US-MS,NA,Columbus/W Point/Starkville,GTR,KGTR,33.450298,-88.5914,264.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Golden_Triangle_Regional_Airport
Grand Canyon National Park Airport,US,US-AZ,NA,Grand Canyon - Tusayan,GCN,KGCN,35.9524,-112.147003,6609.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Grand_Canyon_National_Park_Airport
Grand Forks International Airport,US,US-ND,NA,Grand Forks,GFK,KGFK,47.949299,-97.176102,845.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Grand_Forks_International_Airport
Grand Junction Regional Airport,US,US-CO,NA,Grand Junction,GJT,KGJT,39.126663,-108.529387,4858.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Grand_Junction_Regional_Airport
Grant County Airport,US,US-NM,NA,Silver City,SVC,KSVC,32.636701,-108.154736,5446.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Grant_County_Airport_(New_Mexico)
Great Falls International Airport,US,US-MT,NA,Great Falls,GTF,KGTF,47.481998,-111.371002,3680.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Great_Falls_International_Airport
Greater Binghamton/Edwin A Link field,US,US-NY,NA,Binghamton,BGM,KBGM,42.20869827,-75.97979736,1636.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Greater_Binghamton_Airport
Greenbrier Valley Airport,US,US-WV,NA,Lewisburg,LWB,KLWB,37.857914,-80.400438,2302.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Greenbrier_Valley_Airport
Greenville-Spartanburg International Airport,US,US-SC,NA,Greenville/Greer/Spartanburg,GSP,KGSP,34.895699,-82.218903,964.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Greenville-Spartanburg_International_Airport
Gulfport Biloxi International Airport,US,US-MS,NA,Gulfport,GPT,KGPT,30.405582,-89.069836,28.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Gulfport-Biloxi_International_Airport
Gunnison Crested Butte Regional Airport,US,US-CO,NA,Gunnison,GUC,KGUC,38.534672,-106.934566,7680.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Gunnison-Crested_Butte_Regional_Airport
Gustavus Airport,US,US-AK,NA,Gustavus,GST,PAGS,58.4253006,-135.7070007,35.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Gustavus_Airport
Hagerstown Regional Richard A Henson Field,US,US-MD,NA,Hagerstown,HGR,KHGR,39.708771,-77.728014,703.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Hagerstown_Regional_Airport
Haines Airport,US,US-AK,NA,Haines,HNS,PAHN,59.243921,-135.523925,15.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Haines_Airport
Hana Airport,US,US-HI,OC,Hana,HNM,PHHN,20.795601,-156.014008,78.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Hana_Airport
Hancock County-Bar Harbor Airport,US,US-ME,NA,Bar Harbor,BHB,KBHB,44.45000076,-68.3615036,83.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Hancock_County-Bar_Harbor_Airport
Harrisburg International Airport,US,US-PA,NA,Harrisburg,MDT,KMDT,40.192838,-76.762333,310.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Harrisburg_International_Airport
