State,City,FAA,IATA,ICAO,Airport,Role,Enplanements
GEORGIA,Atlanta,ATL,ATL,KATL,Hartsfield–Jackson Atlanta International Airport,P-L,"52,511,402"
GEORGIA,Augusta,AGS,AGS,KAGS,Augusta Regional Airport (Bush Field),P-N,"299,141"
GEORGIA,Brunswick,BQK,BQK,KBQK,Brunswick Golden Isles Airport,P-N,"42,771"
GEORGIA,Columbus,CSG,CSG,KCSG,Columbus Airport,P-N,"63,422"
GEORGIA,Macon,MCN,MCN,KMCN,Middle Georgia Regional Airport,P-N,"17,020"
GEORGIA,Savannah,SAV,SAV,KSAV,Savannah/Hilton Head International Airport,P-S,"2,020,753"
GEORGIA,Valdosta,VLD,VLD,KVLD,Valdosta Regional Airport,P-N,"46,744"
HAWAII,"Hilo, Hawaii",ITO,ITO,PHTO,Hilo International Airport,P-S,"680,640"
HAWAII,"Honolulu, Oahu",HNL,HNL,PHNL,Daniel K. Inouye International Airport,P-L,"10,449,022"
HAWAII,"Kahului, Maui",OGG,OGG,PHOG,Kahului Airport,P-M,"3,415,615"
HAWAII,"Kailua-Kona, Hawaii",KOA,KOA,PHKO,Ellison Onizuka Kona International Airport at Keahole,P-S,"2,023,899"
HAWAII,"Kaunakakai, Molokai",MKK,MKK,PHMK,Molokai Airport (Hoolehua Airport),P-N,"84,029"
HAWAII,"Lanai City, Lanai",LNY,LNY,PHNY,Lanai Airport,P-N,"25,186"
HAWAII,"Lihue, Kauai",LIH,LIH,PHLI,Lihue Airport,P-S,"1,776,627"
IDAHO,Boise,BOI,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field),P-M,"2,475,370"
IDAHO,Hailey / Sun Valley,SUN,SUN,KSUN,Friedman Memorial Airport,P-N,"121,123"
IDAHO,Idaho Falls,IDA,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field),P-N,"301,674"
IDAHO,Lewiston,LWS,LWS,KLWS,Lewiston–Nez Perce County Airport,P-N,"55,467"
IDAHO,Pocatello,PIH,PIH,KPIH,Pocatello Regional Airport,P-N,"24,610"
IDAHO,Twin Falls,TWF,TWF,KTWF,Magic Valley Regional Airport (Joslin Field),P-N,"31,734"
ILLINOIS,Belleville,BLV,BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base,P-N,"152,632"
ILLINOIS,Bloomington / Normal,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal,P-N,"161,971"
ILLINOIS,Champaign / Urbana / Savoy,CMI,CMI,KCMI,University of Illinois - Willard Airport,P-N,"86,626"
ILLINOIS,Chicago,MDW,MDW,KMDW,Chicago Midway International Airport,P-L,"10,360,093"
ILLINOIS,Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport,P-L,"38,575,693"
ILLINOIS,Decatur,DEC,DEC,KDEC,Decatur Airport,P-N,"12,747"
ILLINOIS,Marion,MWA,MWA,KMWA,Veterans Airport of Southern Illinois (Williamson County Regional Airport),P-N,"13,816"
ILLINOIS,Moline,MLI,MLI,KMLI,Quad Cities International Airport,P-N,"326,888"
ILLINOIS,Peoria,PIA,PIA,KPIA,Peoria International Airport,P-N,"343,114"
ILLINOIS,Rockford,RFD,RFD,KRFD,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),P-N,"132,154"
ILLINOIS,Springfield,SPI,SPI,KSPI,Abraham Lincoln Capital Airport,P-N,"51,784"
INDIANA,Evansville,EVV,EVV,KEVV,Evansville Regional Airport,P-N,"189,706"
INDIANA,Fort Wayne,FWA,FWA,KFWA,Fort Wayne International Airport,P-S,"424,491"
INDIANA,Indianapolis,IND,IND,KIND,Indianapolis International Airport,P-M,"5,181,947"
INDIANA,South Bend,SBN,SBN,KSBN,South Bend International Airport,P-S,"454,920"
IOWA,Cedar Rapids,CID,CID,KCID,Eastern Iowa Airport,P-S,"759,978"
IOWA,Des Moines,DSM,DSM,KDSM,Des Moines International Airport,P-S,"1,555,454"
IOWA,Dubuque,DBQ,DBQ,KDBQ,Dubuque Regional Airport,P-N,"6,078"
IOWA,Sioux City,SUX,SUX,KSUX,Sioux Gateway Airport (Brig. General Bud Day Field),P-N,"28,299"
IOWA,Waterloo,ALO,ALO,KALO,Waterloo Regional Airport,P-N,"12,006"
KANSAS,Garden City,GCK,GCK,KGCK,Garden City Regional Airport,P-N,"31,167"
KANSAS,Hays,HYS,HYS,KHYS,Hays Regional Airport,P-N,"15,002"
KANSAS,Manhattan,MHK,MHK,KMHK,Manhattan Regional Airport,P-N,"85,901"
KANSAS,Salina,SLN,SLN,KSLN,Salina Regional Airport,P-N,"23,456"
KANSAS,Wichita,ICT,ICT,KICT,Wichita Dwight D. Eisenhower National Airport (was Wichita Mid-Continent Airport),P-S,"885,585"
